店铺长ID,店铺名称,地址,店铺分类,品类,省,市,区,手机
52201135,石浦观海渔港·2号渔船海鲜食府（航天科技店）,象山县云智路南湾新天地(象山航天科技城),餐饮,象山江河湖海鲜,浙江省,宁波,象山县,15257865688/0574-59120799
5786618,许府牛火锅·祖传牛骨头汤（培罗城店）,鄞州区鄞县大道培罗成广场裙楼1楼,餐饮,火锅,浙江省,宁波,鄞州区,0574-89026766
5345330,烤食汇自助烧烤火锅（天一店）,海曙区东渡路36号（老银泰对面，城中星酒店旁边）,餐饮,自助餐,浙江省,宁波,海曙区,0574-87400700
539829540,满城风鱼·衢州农家菜（宋诏桥店）,鄞州区天童北路9号（7天连锁酒店边上约20米）,餐饮,特色菜,浙江省,宁波,鄞州区,0574-87771520
5760432,韩国馆,余姚市西石山北路191号,餐饮,余姚日韩料理,浙江省,宁波,余姚市,0574-62735377
52264665,老金老汤面馆,鄞州区惠风东路61号利时金融大厦b座1楼26号商铺,餐饮,小吃快餐,浙江省,宁波,鄞州区,13386664448
195288586,老铁烤肉（学府壹号店）,鄞州区钱湖南路学府一号美食街A区A-106（大唐客栈旁）,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,18783185319/15258112330
4776774,卡奇米酥蛋糕（体育馆店）,鄞州区桑田路265号,餐饮,生日蛋糕,浙江省,宁波,鄞州区,13736023532/13586515645
41915555,茶香香（鄞江店）,海曙区鄞江镇四明东路8号,餐饮,面包甜点,浙江省,宁波,海曙区,15356883595
189716343,小漁廠私厨,鄞州区舒波路365弄保利悠悦汇2号楼二楼,餐饮,江河湖海鲜,浙江省,宁波,鄞州区,17706887777/16605887777
4605275,半亩果生活,北仑区富邦广场c区流行前线100号南鸿装饰对面,餐饮,生日蛋糕,浙江省,宁波,北仑区,0574-86830282
5160109,英伦时光面包烘焙（长河店）,慈溪市长河镇南大路15号（长河花坛往西30米）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-23634224
192255390,斯诺创意蛋糕（江东店）,鄞州区曙光路565号（1-10）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,18658288382/15779799889
4232063,小红烤鱼庄,余姚市富巷北1小区56-16（东大门对面）,餐饮,余姚香锅烤鱼,浙江省,宁波,余姚市富巷北1小区,18367423887
6056606,87家的蛋糕店,慈溪市浒山路34号天和家园旁,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63038387/18858232047
1939861772,董小姐的猪肚鸡汤（宏泰广场店）,鄞州区宏泰广场二楼F2-11-12号,餐饮,火锅,浙江省,宁波,鄞州区,19884103072/13306699992
5178486,广东烧鸭面（城下路店）,余姚市城下路12-2号保庆花园南门,餐饮,余姚小吃快餐,浙江省,宁波,余姚市,13957810535
4089194,大通冰室（城隍庙店）,海曙区开明街亚细亚对面,餐饮,饮品店,浙江省,宁波,海曙区,0574-87546233
163110374,涵山道极上日料（月湖公园店）,海曙区崇教巷6号（中山西路金汇小镇）,餐饮,日本菜,浙江省,宁波,海曙区,0574-87060666
40063981,杨铭宇黄焖鸡米饭（南裕新村店）,"鄞州区首南街道学士路1041号,1043号,1045号利时超市内",餐饮,小吃快餐,浙江省,宁波,鄞州区,13858220200
1858271,杭州一席地豆捞（周巷店）,慈溪市周巷镇开发路387号（周巷中学往西50米）,餐饮,慈溪火锅,浙江省,宁波,慈溪市,0574-63307771
194480588,谷丸屋（印象城店）,鄞州区印象城B1-17（下沉广场肯德基对面）,餐饮,日本菜,浙江省,宁波,鄞州区,0574-88205227
6574042,老地方烧烤,海曙区狮子街150号,餐饮,烧烤烤串,浙江省,宁波,海曙区,13957887739
2431086,索菲克牛排（北仑店）,北仑区黄山路857号富邦世纪广场C区5幢201室,餐饮,西餐,浙江省,宁波,北仑区,0574-86182088
960560177,老底子八碗菜,鄞州区环湖东路韩岭老街公交站旁,餐饮,江浙菜,浙江省,宁波,鄞州区,18969801177
5504586,哆吉客（华胜路店）,慈溪市华胜路211号,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,0574-63028582
41232177,俏玲珑烘焙坊,慈溪市新华街79号,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,15669138808
1942039495,好兄弟郭巨海鲜（集士港店）,海曙区集士港春华路杰迈众创园(天港漫非对面),餐饮,江河湖海鲜,浙江省,宁波,海曙区,0574-82825777
5655359,V5香锅烤鱼（北仑银泰城店）,北仑区中河路399号银泰城4层,餐饮,香锅烤鱼,浙江省,宁波,北仑区,0574-55867778
6556492,桥头排骨（明州路店）,北仑区明州路164号（必胜客旁）,餐饮,小吃快餐,浙江省,宁波,北仑区,16678050541
1573000936,班花串串香火锅（东裕店）,鄞州区东裕路十里街区3号街1-7号（2楼）,餐饮,火锅,浙江省,宁波,鄞州区,13325848552
799778,骑士牛排（鄞州万达店）,鄞州区四明中路999号万达广场2楼阿拉宁波美食街内,餐饮,西餐,浙江省,宁波,鄞州区,0574-88086161
6625082,正新鸡排（振兴路店）,鄞州区邱隘振兴路94号（凡仔汉堡对面）,餐饮,小吃快餐,浙江省,宁波,鄞州区,13306683990
6265836,味藏日本料理（箕漕街店）,鄞州区箕漕街53-1号,餐饮,日本菜,浙江省,宁波,鄞州区,0574-87455583/15888038583
2547312,M Cake烘焙坊,余姚市巍星路110号（叶氏水果和老婆大人中间）,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,13355909559/15824500693
40937302,戈尔登酒店·满堂彩咖啡厅,鄞州区嵩江东路577号戈尔登国际酒店内（近印象城）,餐饮,西餐,浙江省,宁波,鄞州区,0574-89111011
1777235758,大石起火锅烧烤,海曙区海曙区石碶北路49弄22号,餐饮,火锅,浙江省,宁波,海曙区,18958275576
6882879,派乐汉堡（利时广场店）,慈溪市机电路利时广场1楼东面,餐饮,慈溪西餐,浙江省,宁波,慈溪市,0574-55840880
4011623,武汉鸭脖（百丈路店）,鄞州区百丈东路102号,餐饮,小吃快餐,浙江省,宁波,鄞州区,13626842505
843511,汉通东林海鲜大酒店（鼓楼孝闻街店）,海曙区孝闻街135号,餐饮,江浙菜,浙江省,宁波,海曙区,0574-87275788
41798813,莉莎比亚蛋糕店（象山靖南店）,象山县靖南大街237号（象山靖南店）,餐饮,象山生日蛋糕,浙江省,宁波,象山县,0574-65085966
2710910,一席地（孙塘北路店）,慈溪市孙塘北路788号,餐饮,慈溪火锅,浙江省,宁波,慈溪市,0574-63117555
85253194,叁平方精品连锁超市（里仁店）,北仑区岷山路267号（里仁花园门口一期）,餐饮,外卖,浙江省,宁波,北仑区,13325947975
2549546,酒足饭饱,鄞州区百丈东路909弄15号（兴业大厦后面，鸡毛兑糖旁边）,餐饮,江浙菜,浙江省,宁波,鄞州区,0574-87992289
2511073,开元名都大酒店·伊莎贝拉西餐厅（首南中路店）,鄞州区首南中路666号开元名都大酒店1楼（近天童南路）,餐饮,西餐,浙江省,宁波,鄞州区,0574-83078788/83078789
165356108,御龙荟·海鲜姿造美学餐厅（天一店）,海曙区日新街亿彩购物中心二楼（威斯汀酒店旁）,餐饮,自助餐,浙江省,宁波,海曙区,0574-87287779/15058897149
848528,湘味人家（嵩山老店）,北仑区嵩山路898号（近小肥羊）,餐饮,川湘菜,浙江省,宁波,北仑区,0574-86860107
843534,京都居酒屋（彩虹路店）,鄞州区彩虹北路雷公巷117号（竹海农庄隔壁）,餐饮,日本菜,浙江省,宁波,鄞州区,0574-87332186
1965442426,戎记牛肉火锅·现切牛肉,鄞州区宁波市鄞州区五乡镇中洲路34-36号,餐饮,火锅,浙江省,宁波,鄞州区,18106690539
4630554,胖子烤鱼（观海卫店）,慈溪市观海卫镇南央路56号一楼,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,0574-23689556
6562523,Sometimes咖啡馆,慈溪市上林坊虎屿街85号,餐饮,慈溪饮品店,浙江省,宁波,慈溪市,15968022953
162889031,红泥小火炉烤肉（宁波总店）,鄞州区大步街11号,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-87190241
40778435,江南春色海鲜餐厅,鄞州区中山东路1999号文化广场7幢B-7,餐饮,江河湖海鲜,浙江省,宁波,鄞州区,0574-87958166
41103898,广东烧烤（富邦广场店）,北仑区岷山路969号,餐饮,烧烤烤串,浙江省,宁波,北仑区,13136363729
919757912,原始泥炉烤肉（中信国际店）,鄞州区江东北路29号中信国际大酒店一楼停车场旁,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-88356780
5421309,一粒香台湾饭团（南部商务区店）,鄞州区南部商务区水街西区肯德基下面下沉式广场4号,餐饮,小吃快餐,浙江省,宁波,鄞州区,18357476203
6833699,怡咖啡自助餐·宁波香格里拉大酒店（香格里拉大酒店）,鄞州区豫源街88号香格里拉大酒店2楼（近江东北路）,餐饮,自助餐,浙江省,宁波,鄞州区,0574-87998822
610721133,大江户居酒屋（宁波万象汇店）,鄞州区钱湖北路万象汇商业广场第L2层L228号,餐饮,日本菜,浙江省,宁波,鄞州区,13336889288
843684,南苑饭店汀兰居,海曙区灵桥路2号南苑饭店1楼大厅（近长春路）,餐饮,自助餐,浙江省,宁波,海曙区,0574-87095666
5849308,百思味黄焖鸡米饭（万达江北店）,江北区江北大道188号万达广场万达金街69号,餐饮,小吃快餐,浙江省,宁波,江北区,18067136120
86581927,欢乐牧场烧烤涮自助餐厅,海曙区开明街351号食方世界3楼（永耀大酒店旁）,餐饮,火锅,浙江省,宁波,海曙区,0574-87080683
847369,郭巨渔村老头子海鲜楼,北仑区嵩山路870-878号,餐饮,江河湖海鲜,浙江省,宁波,北仑区,0574-86834567/86833535
6691563,YOYO熊私家烘焙坊,北仑区岷山路961号（近世贸湾二期同侧靠富邦广场）,餐饮,生日蛋糕,浙江省,宁波,北仑区,0574-86876177
722712913,原始泥炉烤肉（钱湖天地店）,鄞州区宁波市鄞州区中河街道钱湖北路439弄77-5号,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-88353859/18514029212
4899207,鲜粥坊,北仑区新大路928号,餐饮,小吃快餐,浙江省,宁波,北仑区,0574-86825262
1537156,佰迪森咖啡,海曙区环成西路南段152号（丽园尚都）,餐饮,西餐,浙江省,宁波,海曙区,0574-87151818
178114398,鸟町居酒屋,鄞州区光华路5号金东岸河边,餐饮,日本菜,浙江省,宁波,鄞州区,17757451938
5364132,浓浓的爱,鄞州区姜山镇人民中路116–118号,餐饮,生日蛋糕,浙江省,宁波,鄞州区,0574-88071816
40582277,梁弄大糕（环城南路店）,慈溪市周巷镇环城南路439号,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,13858214088/15888095860
1731731306,香港粗菜馆·粤菜,鄞州区民安东路会展中心11号楼奇柯荟4楼,餐饮,粤港菜,浙江省,宁波,鄞州区,0574-88276399
40096647,卷卷爱寿司（银亿都会店）,海曙区雅戈尔大道银亿都会广场1楼,餐饮,日本菜,浙江省,宁波,海曙区,15867871586
6958808,高粱红手擀面（天一东渡路店）,海曙区东渡路18号（世贸广场对面、贴阁碧旁边）,餐饮,小吃快餐,浙江省,宁波,海曙区,0574-87345666
743911442,宁海小吃,海曙区恒春街149号,餐饮,小吃快餐,浙江省,宁波,海曙区,13586507775
83786,威斯汀酒店·知味自助餐厅（日新街店）,海曙区日新街75号威斯汀酒店2楼（天一广场乐购超市对面）,餐饮,自助餐,浙江省,宁波,海曙区,0574-89113299
5713783,香颂chanson（世纪东方广场店）,鄞州区中山东路1083号世纪东方广场地下一层B028号（银泰超市门口）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,0574-87155817/18657489622
194746675,蚝翅·高压锅生蚝（集盒店）,鄞州区徐戎路039号,餐饮,烧烤烤串,浙江省,宁波,鄞州区,0574-87296676/4000574717
4250255,面包诱惑（银泰总店）,慈溪市浒山糖坊路103-105号（银泰城西侧）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63772927/17858895172
2416999,朱大龙虾煲庄,慈溪市浒山南二环线586号（金南宾馆）,餐饮,慈溪小龙虾,浙江省,宁波,慈溪市,0574-63102216/13968208892
610721133,大江户居酒屋（宁波万象汇店）,鄞州区钱湖北路万象汇商业广场第L2层L228号,餐饮,日本菜,浙江省,宁波,鄞州区,13336889288
4002666,尚品宫韩式自助烤肉（轻纺城店）,海曙区雅戈尔大道145-151号洛兹广场B座F3室（洛兹广场B座3楼006F）,餐饮,烧烤烤串,浙江省,宁波,海曙区,0574-88257997
2576675,椰农,海曙区公园路77弄1号,餐饮,面包甜点,浙江省,宁波,海曙区,0574-87238161
86581927,欢乐牧场烧烤涮自助餐厅,海曙区开明街351号食方世界3楼（永耀大酒店旁）,餐饮,火锅,浙江省,宁波,海曙区,0574-87080683
6591419,艾菲蛋糕（海曙店）,海曙区新典路77号,餐饮,生日蛋糕,浙江省,宁波,海曙区,13586575683
40228589,小虎豆浆,慈溪市教场山东路93号,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,13116623233
722712913,原始泥炉烤肉（钱湖天地店）,鄞州区宁波市鄞州区中河街道钱湖北路439弄77-5号,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-88353859/18514029212
5963740,沈氏祖傳·老寜波油贊子（鼓楼总店）,海曙区府桥街68弄16号,餐饮,小吃快餐,浙江省,宁波,海曙区,13968319702/15257888757
1857241,威斯汀酒店·中国元素中餐厅,海曙区日新街75号威斯汀酒店3-4楼（近天一广场）,餐饮,江浙菜,浙江省,宁波,海曙区,0574-81877777
178114398,鸟町居酒屋,鄞州区光华路5号金东岸河边,餐饮,日本菜,浙江省,宁波,鄞州区,17757451938
5447074,汉江韩国料理（南二环店）,慈溪市白沙路街道南二环东路1298号,餐饮,慈溪日韩料理,浙江省,宁波,慈溪市,15058066130
843984,戚家山宾馆中餐厅,北仑区小港开发区东海路20号戚家山宾馆内,餐饮,特色菜,浙江省,宁波,北仑区,0574-86183101
195190251,有骨气•筒骨砂锅（世纪东方店）,鄞州区中山东路1083号世纪东方广场一楼,餐饮,火锅,浙江省,宁波,鄞州区,0574-88276693
6557436,创食人黑鸭,鄞州区四明中路万达广场北侧,餐饮,小吃快餐,浙江省,宁波,鄞州区,13777285768
6155793,阿紫私家烘焙（天静巷店）,鄞州区天静巷128号（近利时百货北门）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,13386619976
153653785,弥鹿炭火烤肉·韩国料理,海曙区鼓楼里巷府桥街38弄13号,餐饮,烧烤烤串,浙江省,宁波,海曙区,13884453119
5284171,爱心园,慈溪市横河镇杨梅大道183号（农村合作银行斜对面）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,13867884480/13505787816
5702754,奥泽烘焙,海曙区集士港蕙兰路61-63号（井亭家园底商）,餐饮,生日蛋糕,浙江省,宁波,海曙区,13906618715
798206692,海林家土灶鸡,鄞州区集锦街152号,餐饮,特色菜,浙江省,宁波,鄞州区,16257452222/15751618000
41743332,私享家烘焙（南部商务区店）,鄞州区南部商务区城市摩尔商业街天健巷77号,餐饮,生日蛋糕,浙江省,宁波,鄞州区,15968900595
41684176,大理寺云南过桥米线（翠柏店）,海曙区体育场路68号（东道煮火锅对面）,餐饮,小吃快餐,浙江省,宁波,海曙区,15728032122
162885456,蜀大侠火锅（天一广场店）,海曙区天一广场华楼巷72-92号（新石浦大酒店后门）,餐饮,火锅,浙江省,宁波,海曙区,0574-88265003
4057387,北京烤鸭（西门店）,慈溪市新江路586号西门菜市场正对面,餐饮,慈溪北京菜,浙江省,宁波,慈溪市,15990295335
40454684,SWEET CAKE私味创艺蛋糕,海曙区南门街道迎春街57号,餐饮,生日蛋糕,浙江省,宁波,海曙区,18606598831
559228462,甬尚名灶,鄞州区科技路202号,餐饮,江河湖海鲜,浙江省,宁波,鄞州区,13738817797
5033513,佳养记百味鸡煲（鄞州店）,鄞州区四明广场36号（近天港禧悦酒店）,餐饮,火锅,浙江省,宁波,鄞州区,0574-88310537
40378587,吉诺披萨餐厅,鄞州区姜山镇南大东路026号,餐饮,西餐,浙江省,宁波,鄞州区,13780092003
1772648932,川味之家,鄞州区滨江商业广场桃源街390-392号,餐饮,川湘菜,浙江省,宁波,鄞州区,18657471195
2688342,拾笺（轻纺城店）,海曙区雅戈尔大道126-5号（近轻纺城）,餐饮,生日蛋糕,浙江省,宁波,海曙区,0574-28862266
4779250,Marduff玛尔达芙（观城店）,慈溪市观海卫振观路27-29号,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63669718
1856061,要德鲜派老火锅（联丰店）,海曙区环城西路南段262号,餐饮,火锅,浙江省,宁波,海曙区,0574-55224799
2491108,MY.girl蜜菓（银亿海尚广场店）,镇海区骆驼银亿海尚广场三五路426弄49号（保利影院后门步行街）,餐饮,饮品店,浙江省,宁波,镇海区,18142036655
4489616,御喜玛蛋糕,鄞州区王隘路47弄4号（近写意春秋小区）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,0574-27890067/18606603790
193988387,名炉火吧木炭烤肉,鄞州区清水桥路377号,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-83888190
5292342,爵士牛排（杭州湾店）,慈溪市金源大道世纪金源购物中心永辉超市四楼,餐饮,慈溪西餐,浙江省,宁波,慈溪市,0574-82352181
6485165,鱼乡客烤鱼餐厅（慈百路店）,慈溪市慈百路217-219号（长途汽车站往西400米，金海湾大厦下面）,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,18258711585
74239170,三里屯土灶炖公鸡（鄞州店）,鄞州区天源巷47号,餐饮,特色菜,浙江省,宁波,鄞州区,18912550777
4391199,海绵贝比烘培坊,余姚市东旱门北路66弄24号（舜江名苑东门口）,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62780260/13958366449
40896706,年糕的故事,慈溪市浒山街道乌山路256号（金山公园斜对面）,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,13957454064
1634338923,山耕阙里·衢州农家菜,江北区天水广场江北区康庄南路70号天,餐饮,江浙菜,浙江省,宁波,江北区,0574-56871609/18868685772
6385684,小杨特色石锅鱼（周巷店）,慈溪市周巷开发路697号（碧塔海往西200米）,餐饮,慈溪火锅,浙江省,宁波,慈溪市,13777189731
848612,东福园饭店,海曙区公园路5号,餐饮,江浙菜,浙江省,宁波,海曙区,0574-87175777/83897999
195190251,有骨气•筒骨砂锅（世纪东方店）,鄞州区中山东路1083号世纪东方广场一楼,餐饮,火锅,浙江省,宁波,鄞州区,0574-88276693
2531899,余姚宾馆,余姚市舜水南路108号,餐饮,余姚自助餐,浙江省,宁波,余姚市,0574-62708888
5315484,夏记北京烤鸭（上林坊店）,慈溪市南门大街221号（钱塘国脉对面）,餐饮,慈溪北京菜,浙江省,宁波,慈溪市,0574-63800799/15268438388
153653785,弥鹿炭火烤肉·韩国料理,海曙区鼓楼里巷府桥街38弄13号,餐饮,烧烤烤串,浙江省,宁波,海曙区,13884453119
42758898,老陕西面馆（洪塘店）,江北区通惠路26号,餐饮,小吃快餐,浙江省,宁波,江北区,13152144419
4458247,林记烤鱼大王（泗门店）,余姚市中华路72-74号,餐饮,余姚香锅烤鱼,浙江省,宁波,余姚市,15058209925/18358411597
798206692,海林家土灶鸡,鄞州区集锦街152号,餐饮,特色菜,浙江省,宁波,鄞州区,16257452222/15751618000
6696894,火烧鸟·居酒屋（慈溪店）,慈溪市慈百路276号博洋智谷2楼,餐饮,慈溪日本菜,浙江省,宁波,慈溪市,0574-63111077/13675887768
1857942,波特曼（阳明东路店）,余姚市阳明东路72号（近移动公司）,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62621870
162885456,蜀大侠火锅（天一广场店）,海曙区天一广场华楼巷72-92号（新石浦大酒店后门）,餐饮,火锅,浙江省,宁波,海曙区,0574-88265003
6977510,余姚梁弄大糕（慈溪店）,慈溪市古塘街道后二房路44号,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,15957416510
41601572,优卡甜心（马渚店）,余姚市马渚镇小马路18号,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62462539/18857461688
559228462,甬尚名灶,鄞州区科技路202号,餐饮,江河湖海鲜,浙江省,宁波,鄞州区,13738817797
63620506,四季永逸西餐厅,镇海区骆驼慈海南路1718号（四季永逸一楼）,餐饮,自助餐,浙江省,宁波,镇海区,0574-86568776
5448659,椰子鸡（水街店）,鄞州区南部商务区泰金巷水街4号楼3楼,餐饮,更多地方菜,浙江省,宁波,鄞州区,0574-28886188
1160642435,飞哥饭店,海曙区高君路183号,餐饮,江浙菜,浙江省,宁波,海曙区,15382445373
6332606,168烧烤（庄市店）,镇海区庄市街道聚兴路52号（庄市菜场斜对面）,餐饮,烧烤烤串,浙江省,宁波,镇海区,0574-56799727/13819887295
5715388,云石林过桥米线（初六食仓店）,北仑区新碶街道岷山路505号（银泰城）2幢505号四层4081号商铺（五号门四楼初六食仓内）,餐饮,小吃快餐,浙江省,宁波,北仑区,0574-55867799
161834995,鱼司令我家酸菜鱼（博地店）,北仑区大碶街道宝山路1282号5层C505-1,餐饮,火锅,浙江省,宁波,北仑区,15669173366
2710909,一席地（南二环线店）,慈溪市南二环线570号（南二环东路与乌山南路交叉口东行100米路北）,餐饮,慈溪火锅,浙江省,宁波,慈溪市,0574-63279999
1172280,美粥王（宁波1店）,鄞州区惊驾路281号,餐饮,小吃快餐,浙江省,宁波,鄞州区,0574-87744988
1262973734,古田村·衢州菜餐厅（集士港店）,海曙区春华路928号杰迈众创园天港漫非斜对面,餐饮,江浙菜,浙江省,宁波,海曙区,0574-87119717/15381936879
40106228,鲜目录·外带寿司（洪塘门店）,江北区洪塘中路281号（洪塘中路与江北大道交叉口）,餐饮,日本菜,浙江省,宁波,江北区,0574-87345674
4897398,披萨工坊（师桥店）,慈溪市观海卫师桥三北东路849号,餐饮,慈溪西餐,浙江省,宁波,慈溪市,15906535808
851115,蚝翅·海鲜烧烤（月湖盛园店）,海曙区盛园巷8号,餐饮,烧烤烤串,浙江省,宁波,海曙区,0574-81858133/4000574717
5888281,关东烤蹄（阳明东路店）,余姚市阳明东路246号,餐饮,余姚烧烤烤串,浙江省,宁波,余姚市,13777161820
6114993,三毛烤鱼坊,慈溪市新城大道北路677号（国际大酒店旁边）,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,18989312556
1793775264,午酒小炸,鄞州区四明城市广场16号,餐饮,小吃快餐,浙江省,宁波,鄞州区,13034604444
2468352,丽清大别山鹅火锅（北仑店）,北仑区大碶街道新大路1526号明港公寓（大润发南侧）,餐饮,火锅,浙江省,宁波,北仑区,0574-86109816
850675,大渔铁板烧（天一店）,海曙区中山东路166号国际购物中心4楼（近天一广场）,餐饮,日本菜,浙江省,宁波,海曙区,0574-87684079/0574-87684080
1251057876,第一烤场,北仑区宝山路博地影秀城酒吧街c102-2,餐饮,中式烧烤/烤串,浙江省,宁波,北仑区,13199693392/18511698320
2572522,普罗旺司,慈溪市周巷镇兴业北路303号（杭州宝岛眼镜对面）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63193212
5590666,O'Sha Baby欧莎贝贝（老车站店）,慈溪市南大街2-6号（观海卫路与南大街交口）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63678000
5324036,光定海鲜,象山县玉泉路196号,餐饮,象山江河湖海鲜,浙江省,宁波,象山县,15305741607
